"orf","sample","coverage","D01","D02","D03","D04","D05","D06","T00","T01","T02","T03","T04"
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_18_length_2795_cov_41.756204_475_1_1|TLMV","R15","41.756204",NA,NA,0.000729331,NA,NA,NA,NA,0.000123646,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_20_length_2598_cov_3619.073535_285_6_1|TTMV","R15","3619.073535",NA,NA,0.069836836,NA,NA,NA,NA,0.00852845,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_22_length_2526_cov_995.403480_280_4_1|TTMV","R15","995.403480",NA,NA,0.017817697,NA,NA,NA,NA,0.055832674,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_23_length_2517_cov_125.357027_289_1_1|TTMV","R15","125.357027",NA,NA,0.002194733,NA,NA,NA,NA,0.003601518,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_24_length_2484_cov_6.892137_270_3_1|TTMV","R15","6.892137",NA,0.370796262,0.000119059,NA,NA,NA,NA,0.01287437,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_3531_cov_1152.897296_894_6_1|TTV_Clade9","R15","1152.897296",NA,NA,0.024421365,NA,NA,NA,NA,0.011872581,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_3224_cov_18.896182_685_4_1|TLMV","R15","18.896182",NA,NA,0.000335462,NA,NA,NA,NA,5.11e-05,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_3207_cov_23315.272208_560_2_1|TTV_Clade5","R15","23315.272208",NA,NA,0.520098542,NA,NA,NA,NA,0.027815401,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_3195_cov_968.063694_604_1_1|TTV_Clade3","R15","968.063694",NA,NA,0.01994354,NA,NA,NA,NA,2.59e-05,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_3103_cov_2877.625656_344_5_1|TTV_Clade7","R15","2877.625656",NA,NA,0.056226647,NA,NA,NA,NA,3.15e-06,NA,NA,0.000585652
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_9_length_3097_cov_55.299803_371_2_1|TTV_Clade6","R15","55.299803",NA,NA,0.00117936,0.000565382,0.000121234,NA,NA,0.000129324,NA,NA,NA
"R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3843_cov_1876.481785_528_3_1|TTV_Clade5","R15","1876.481785",NA,NA,NA,0.372667797,NA,NA,NA,2.52e-06,NA,NA,NA
"R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_3593_cov_156.131148_867_6_1|TTV_Clade5","R15","156.131148",NA,NA,NA,0.031122957,NA,NA,NA,0.000241615,NA,NA,NA
"R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_3073_cov_70.597084_446_2_1|TTV_Clade8","R15","70.597084",NA,NA,NA,0.012936489,NA,NA,NA,0.011888352,NA,0.559029134,NA
"R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_3054_cov_119.960654_396_3_1|TTV_Clade6","R15","119.960654",NA,NA,NA,0.022662413,NA,NA,NA,1.77e-05,NA,NA,NA
"R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_2999_cov_97.106658_278_2_1|TLMV","R15","97.106658",NA,NA,NA,0.016059554,NA,NA,NA,0.000664915,NA,NA,NA
"R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_9_length_2898_cov_34.285262_628_4_1|TLMV","R15","34.285262",NA,NA,NA,0.005620171,NA,NA,NA,8.2e-06,NA,NA,NA
"R15D05_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3785_cov_3584.146113_908_5_1|TTV_Clade8","R15","3584.146113",NA,NA,NA,NA,0.968218146,NA,0.000147512,0.00165661,NA,NA,NA
