"orf","sample","coverage","D01","D02","D03","D04","D05","D06","T00","T01","T02","T03","T04"
"R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_18_length_2790_cov_11.485923_478_1_1|TLMV","R04","11.485923",0.00447028823120315,NA,NA,NA,NA,NA,NA,NA,0.00973449711664772,NA,0.00180300958960986
"R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_19_length_2628_cov_2.668480_131_5_1|TLMV","R04","2.668480",0.000875125569894135,NA,NA,NA,NA,NA,NA,2.59086319141232e-06,NA,NA,NA
"R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_3_length_5918_cov_112.752857_371_5_1|TLMV","R04","112.752857",0.0381249517038869,NA,NA,NA,NA,NA,NA,0.000399964505174278,0.00342773457207131,NA,NA
"R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_6_length_3692_cov_17.261754_748_4_1|TLMV","R04","17.261754",0.00786067537284599,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000701051291084929
"R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_7_length_3423_cov_143.549584_397_4_1|TLMV","R04","143.549584",0.0539989181670659,NA,NA,NA,NA,NA,NA,0.0196795490861702,0.000122041572933293,NA,NA
"R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_8_length_3078_cov_110.565002_409_1_1|TTV_Clade4","R04","110.565002",0.049632949540221,9.43203433260497e-05,NA,NA,NA,NA,NA,2.91472109033887e-06,NA,NA,NA
"R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_9_length_3029_cov_85.690316_336_3_1|TTV_Clade6","R04","85.690316",0.0335001159106715,NA,NA,NA,NA,NA,NA,0.0193041977813143,NA,1.04915005730982e-06,NA
"R04D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_16_length_2954_cov_219.124181_230_2_1|TLMV","R04","219.124181",NA,0.0411708298618207,NA,NA,NA,NA,NA,0.00135631688070435,NA,0.00765512339316112,NA
"R04D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_19_length_2774_cov_3.398308_409_1_1|TLMV","R04","3.398308",NA,0.000675962460503356,NA,NA,NA,NA,NA,3.9510663669038e-05,NA,NA,0.000303002800632018
"R04D02_VL46-0475-05292019|NODE_1_length_5740_cov_4.263852_429_6_1|TLMV","R04","4.263852",NA,0.000188640686652099,NA,NA,NA,NA,NA,4.53401058497157e-06,NA,0.00347688328992475,0.000239400797669165
"R04D02_VL46-0475-05292019|NODE_13_length_2982_cov_33.049880_379_1_1|TTV_Clade3","R04","33.049880",NA,0.00218508795372015,NA,NA,NA,NA,NA,0.00193084079340004,NA,NA,NA
"R04D02_VL46-0475-05292019|NODE_14_length_2967_cov_14.100618_559_1_1|TLMV","R04","14.100618",3.47732014527471e-05,0.000958923490481505,NA,NA,NA,NA,NA,0.000452753342699304,NA,NA,0.000140781961614405
"R04D02_VL46-0475-05292019|NODE_18_length_2916_cov_143.557148_574_1_1|TLMV","R04","143.557148",NA,0.00774212818134658,NA,NA,NA,NA,0.0146693594607134,0.000443037605731508,NA,0.00212400429102373,0.00574919229029383
