orf,coverage_2,sample,source,D01,D02,D03,D04,D05,D06,T00,T01,T02,T03,T04
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_45_length_2627_cov_110.890747_249_3_1|TLMV,110.890747,R04,donor,9.137684585375834e-4,NA,NA,NA,NA,NA,NA,1.1004343831610466e-4,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_47_length_2609_cov_52.361394_244_1_1|TLMV,52.361394,R04,donor,4.161033373975985e-4,NA,NA,NA,NA,NA,NA,NA,NA,2.75896698758051e-6,8.392219061228677e-4
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_5_length_3060_cov_41.358735_432_6_1|TLMV,41.358735,R04,donor,3.594248097122113e-4,NA,NA,NA,NA,NA,NA,6.655853123957944e-4,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_50_length_2491_cov_33.119048_263_2_1|TLMV,33.119048,R04,donor,2.7509821974126944e-4,NA,NA,NA,NA,NA,NA,3.838208634815747e-5,NA,3.4487087344756377e-7,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_9_length_2980_cov_25562.162051_381_3_1|TTV_Clade5,25562.162051,R04,donor,0.34842226332567483,NA,NA,NA,NA,NA,NA,7.853906686270373e-4,5.963262328547926e-5,0.031088040016057188,0.024048618468619373
R04D01-TTVRCA_S5_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_12_length_2927_cov_4.710306_398_5_1|TLMV,4.710306,R04,donor,0.001375491098706347,NA,NA,NA,NA,NA,NA,2.1454033236224435e-4,NA,NA,NA
R04D01-TTVRCA_S5_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_15_length_2869_cov_19.172353_339_6_1|TLMV,19.172353,R04,donor,0.005099685088570567,NA,NA,NA,NA,NA,NA,4.470514681591752e-4,NA,NA,NA
R04D01-TTVRCA_S5_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_16_length_2806_cov_69.043984_511_1_1|TLMV,69.043984,R04,donor,0.01710032652361559,NA,NA,NA,NA,NA,NA,0.0016515390218247643,NA,NA,NA
R04D01-TTVRCA_S5_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_18_length_2790_cov_11.485923_478_1_1|TLMV,11.485923,R04,donor,0.0031892039846387367,NA,NA,NA,NA,NA,NA,NA,0.00669674359495932,NA,0.00122528343188275
R04D01-TTVRCA_S5_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_6_length_3692_cov_17.261754_748_4_1|TLMV,17.261754,R04,donor,0.005640204706253162,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.779577831510886e-4
R04D01-TTVRCA_S5_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_8_length_3078_cov_110.565002_409_1_1|TTV_Clade4,110.565002,R04,donor,0.0355222304244807,NA,NA,NA,NA,NA,NA,1.996755937187383e-6,NA,NA,NA
R04D01-TTVRCA_S5_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_9_length_3029_cov_85.690316_336_3_1|TTV_Clade6,85.690316,R04,donor,0.023955663567318885,NA,NA,NA,NA,NA,NA,1.5974047497499064e-5,NA,6.897417468951275e-7,4.862235840804564e-7
R04D02_20190410_VL46-0475_multiplex_nextseq|NODE_16_length_2954_cov_219.124181_230_2_1|TLMV,219.124181,R04,donor,NA,0.027490146477660977,NA,NA,NA,NA,NA,9.282696490213344e-4,NA,0.005025458367877899,NA
R04D02_20190410_VL46-0475_multiplex_nextseq|NODE_19_length_2774_cov_3.398308_409_1_1|TLMV,3.398308,R04,donor,NA,4.775875008528348e-4,NA,NA,NA,NA,NA,9.051960248582802e-5,NA,NA,3.690437003170664e-4
R04D02_20190529_VL46-0475_multiplex_NextSeq|NODE_13_length_2982_cov_33.049880_379_1_1|TTV_Clade3,33.04988,R04,donor,NA,0.001459003574033935,NA,NA,NA,NA,NA,0.0013218524304180474,NA,NA,NA
R04D02_20190529_VL46-0475_multiplex_NextSeq|NODE_14_length_2967_cov_14.100618_559_1_1|TLMV,14.100618,R04,donor,NA,6.350339297054177e-4,NA,NA,NA,NA,NA,4.357365178484467e-4,6.625847031719917e-7,NA,1.5802266482614833e-4
R04D02_20190529_VL46-0475_multiplex_NextSeq|NODE_18_length_2916_cov_143.557148_574_1_1|TLMV,143.557148,R04,donor,NA,0.005153746437774547,NA,NA,NA,NA,1.4123828310743054e-5,5.546544269964952e-6,NA,2.8969153369595358e-5,8.071311495735577e-5
R04D02_20190529_VL46-0475_multiplex_NextSeq|NODE_2_length_3790_cov_1232.870415_868_4_1|TTV_Clade3,1232.870415,R04,donor,NA,0.05813446974666869,NA,NA,NA,NA,NA,0.07949728785078287,NA,1.075997125156399e-4,2.1393837699540082e-5
R04D02_20190529_VL46-0475_multiplex_NextSeq|NODE_22_length_2835_cov_5.793165_418_4_1|TLMV,5.793165,R04,donor,NA,3.1489285770516584e-4,NA,NA,NA,NA,NA,3.8027107514879713e-4,1.3251694063439835e-6,NA,NA
R04D02_20190529_VL46-0475_multiplex_NextSeq|NODE_31_length_2483_cov_12.184514_210_6_1|TTMV,12.184514,R04,donor,NA,5.98296429639815e-4,NA,NA,NA,NA,NA,6.995301633279798e-4,0.12173204942086784,0.08184441081570239,0.007161587169921042
R04D02_20190529_VL46-0475_multiplex_NextSeq|NODE_32_length_2385_cov_2.428755_26_2_1|TTV_Clade6,2.428755,R04,donor,NA,1.3120535737715244e-4,NA,NA,NA,NA,NA,0.002920810212563544,NA,NA,9.724471681609128e-7
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_10_length_3039_cov_64.641756_334_4_1|TTV_Clade5,64.641756,R04,donor,NA,0.08017172157173522,NA,NA,NA,NA,NA,NA,NA,3.241786210407099e-5,2.431117920402282e-6
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_11_length_3006_cov_5.445273_245_5_1|TTV_Clade3,5.445273,R04,donor,NA,0.006114169653775303,NA,NA,NA,NA,NA,NA,NA,1.1380738823769604e-5,6.320906593045933e-6
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_15_length_2931_cov_30.754520_337_4_1|TTV_Clade3,30.75452,R04,donor,NA,0.038007567925013516,NA,NA,NA,NA,NA,1.3600126549954063e-4,1.3251694063439835e-6,NA,5.445704141701112e-4
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_16_length_2927_cov_20.155989_356_2_1|TTV_Clade5,20.155989,R04,donor,NA,0.03687920185157,NA,NA,NA,NA,NA,1.0893412946211167e-4,NA,0.003280066877359779,0.014236140318291682
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_2_length_3518_cov_41.939648_371_2_1|TTV_Clade3,41.939648,R04,donor,NA,0.05251363223663148,NA,NA,NA,NA,NA,NA,0.0758507090650201,0.023786433883425367,0.012276173050863363
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_3_length_3406_cov_22.421665_319_1_1|TTV_Clade3,22.421665,R04,donor,NA,0.024168026828871477,NA,NA,NA,NA,NA,0.0156042039255778,NA,1.3449964064454987e-5,9.238248097528672e-6
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_4_length_3313_cov_8.451811_929_2_1|TTMV,8.451811,R04,donor,NA,0.008580830372465768,NA,NA,NA,NA,NA,0.0010039245128636565,NA,0.01025749438895089,0.04502527633301842
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_5_length_3297_cov_14.394201_472_4_1|TTV_Clade1,14.394201,R04,donor,NA,0.017518539316997393,NA,NA,NA,NA,NA,0.0013737680847849194,NA,NA,0.00844862099698201
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_6_length_3239_cov_58.611809_684_6_1|TTV_Clade3,58.611809,R04,donor,NA,0.06407020011441107,NA,NA,NA,NA,NA,0.008219756746317261,NA,NA,NA
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_7_length_3239_cov_51.379397_324_6_1|TTV_Clade3,51.379397,R04,donor,NA,0.0641331786859521,NA,NA,NA,NA,NA,0.06218674504599305,NA,7.207801255054083e-5,2.5769849956264188e-5
R04D02-TTVRCA_S6_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_9_length_3081_cov_15.848645_335_5_1|TTV_Clade4,15.848645,R04,donor,NA,0.022058244682246864,NA,NA,NA,NA,NA,1.308984447711729e-4,NA,NA,NA
R05D01_20190408_VL46-0475_multiplex_nextseq|NODE_1_length_3487_cov_526.873252_884_5_1|TTV_Clade5,526.873252,R05,donor,0.3866279069767442,NA,NA,NA,NA,NA,NA,NA,1.50519238691753e-7,4.246199757372146e-7,2.141991299417602e-5
R05D01_20190408_VL46-0475_multiplex_nextseq|NODE_2_length_3062_cov_385.677752_304_4_1|TTV_Clade6,385.677752,R05,donor,0.28288372093023256,NA,NA,NA,NA,NA,NA,NA,0.011597055783483494,NA,NA
R05D03_20190408_VL46-0475_multiplex_nextseq|NODE_3_length_3017_cov_12725.115125_578_2_1|TLMV,12725.115125,R05,donor,NA,NA,0.6572926720063679,NA,NA,NA,NA,NA,NA,4.776974727043664e-4,NA
R05D04_20190408_VL46-0475_multiplex_nextseq|NODE_2_length_3552_cov_240.207035_878_5_1|TTV_Clade5,240.207035,R05,donor,NA,NA,NA,0.2976916544429862,NA,NA,7.16358790407113e-4,NA,1.806230864301036e-6,0.002434027855919648,0.005460587732610942
R05D04_20190408_VL46-0475_multiplex_nextseq|NODE_3_length_3485_cov_46.852770_373_1_1|TTV_Clade3,46.85277,R05,donor,NA,NA,NA,0.05489075889755269,NA,NA,NA,NA,7.661429249410228e-5,1.868327893243744e-5,1.6763410169355145e-6
R05D05_20190408_VL46-0475_multiplex_nextseq|NODE_1_length_3155_cov_9115.565484_464_5_1|TTV_Clade7,9115.565484,R05,donor,NA,NA,NA,NA,0.5057331775753933,NA,NA,0.17574661100323147,1.354673148225777e-6,NA,NA
R05D05_20190408_VL46-0475_multiplex_nextseq|NODE_2_length_3150_cov_3042.210016_463_4_1|TTV_Clade5,3042.210016,R05,donor,NA,NA,NA,NA,0.1722278300121355,NA,NA,NA,0.04297730666594016,NA,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_10_length_2964_cov_23.682709_343_4_1|TLMV,23.682709,R05,donor,NA,NA,NA,NA,NA,1.8283647379184392e-4,2.304463020611117e-6,4.863795307911405e-5,1.8212827881702114e-4,NA,2.717535048565462e-4
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_11_length_2955_cov_30.166552_340_4_1|TLMV,30.166552,R05,donor,NA,NA,NA,NA,NA,2.7476733631521963e-4,NA,NA,1.0626658251637762e-4,NA,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_13_length_2954_cov_26.834771_584_2_1|TLMV,26.834771,R05,donor,NA,NA,NA,NA,NA,2.4674380201441365e-4,NA,NA,NA,2.123099878686073e-7,7.485793941182037e-4
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_14_length_2931_cov_125.411683_368_5_1|TLMV,125.411683,R05,donor,NA,NA,NA,NA,NA,0.0010642108025940224,NA,NA,4.5908367800984664e-5,NA,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_15_length_2928_cov_93.063348_267_3_1|TLMV,93.063348,R05,donor,NA,NA,NA,NA,NA,8.24302008945659e-4,NA,NA,0.0017321753988646935,1.0615499393430365e-7,1.8626011299283494e-7
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_16_length_2915_cov_38.226224_329_5_1|TLMV,38.226224,R05,donor,NA,NA,NA,NA,NA,3.2295414529587383e-4,NA,NA,1.3787562264164577e-4,0.0011473231744419537,0.0038758866912679026
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_17_length_2907_cov_82.881837_224_2_1|TLMV,82.881837,R05,donor,NA,NA,NA,NA,NA,7.40231406043241e-4,NA,NA,9.509805500544955e-4,NA,7.450404519713397e-7
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_18_length_2881_cov_532.194621_250_4_1|TTV_Clade9,532.194621,R05,donor,NA,NA,NA,NA,NA,0.005146419549217528,NA,NA,0.009228936601146143,NA,0.023464303994385375
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_2_length_3881_cov_12195.265029_672_3_1|TTV_Clade5,12195.265029,R05,donor,NA,NA,NA,NA,NA,0.14027043394101113,NA,NA,0.006525008997287493,NA,1.4900809039426795e-6
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_20_length_2873_cov_5009.989709_598_4_1|TTMV,5009.989709,R05,donor,NA,NA,NA,NA,NA,0.042295031769118883,NA,NA,NA,5.307749696715182e-7,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_21_length_2868_cov_127.000000_314_5_1|TLMV,127,R05,donor,NA,NA,NA,NA,NA,0.001171520433941011,NA,NA,5.478900288379809e-5,0.0010647345891610655,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_23_length_2854_cov_192.041801_334_4_1|TLMV,192.041801,R05,donor,NA,NA,NA,NA,NA,0.0016643245371332335,NA,NA,6.908833055951463e-5,7.057183996752506e-4,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_24_length_2846_cov_127.849158_206_2_1|TLMV,127.849158,R05,donor,NA,NA,NA,NA,NA,0.001182798197744994,NA,NA,4.816615638136096e-6,NA,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_25_length_2842_cov_2286.161105_262_4_1|TTV_Clade3,2286.161105,R05,donor,NA,NA,NA,NA,NA,0.022139617348891635,NA,NA,1.50519238691753e-7,4.246199757372146e-7,1.0002168067715236e-4
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_26_length_2822_cov_8932.509577_562_1_1|TTMV,8932.509577,R05,donor,NA,NA,NA,NA,NA,0.07813405638608502,7.242598064777797e-6,4.4216320981012775e-6,0.0025708685968551413,0.036535045797387485,0.08080205839776071
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_27_length_2817_cov_2873.489138_231_6_1|TTMV,2873.489138,R05,donor,NA,NA,NA,NA,NA,0.018468876105904353,NA,NA,NA,6.369299636058218e-7,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_28_length_2811_cov_26.966255_534_3_1|TLMV,26.966255,R05,donor,NA,NA,NA,NA,NA,2.310232827724981e-4,NA,NA,2.0651239548508511e-4,6.705810966829961e-4,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_29_length_2721_cov_35.409227_423_3_1|TLMV,35.409227,R05,donor,NA,NA,NA,NA,NA,3.3901641495609193e-4,NA,NA,0.011244238687990024,0.00648798091927677,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_30_length_2696_cov_20.438092_422_5_1|TLMV,20.438092,R05,donor,NA,NA,NA,NA,NA,1.794189696088188e-4,NA,NA,9.874062058178997e-5,0.0011129289564072394,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_31_length_2641_cov_17.500000_353_5_1|TLMV,17.5,R05,donor,NA,NA,NA,NA,NA,1.534459378178279e-4,NA,NA,1.5352962346558806e-4,NA,1.6390889943369476e-5
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_32_length_2616_cov_56.931277_431_5_1|TLMV,56.931277,R05,donor,NA,NA,NA,NA,NA,4.6785632265613895e-4,NA,NA,6.779386510676555e-4,3.0466483259145147e-5,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_33_length_2571_cov_5478.222576_205_4_1|TTMV,5478.222576,R05,donor,NA,NA,NA,NA,NA,0.04359675911243315,NA,NA,1.204153909534024e-6,1.486169915080251e-6,9.506716167154295e-4
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_34_length_2553_cov_1246.543635_282_3_1|TTMV,1246.543635,R05,donor,NA,NA,NA,NA,NA,0.011436335998075262,NA,NA,0.07719243688991731,NA,NA
R05D06_20190408_VL46-0475_multiplex_nextseq|NODE_35_length_2537_cov_517.410153_156_3_1|TLMV,517.410153,R05,donor,NA,NA,NA,NA,NA,0.004261627716232325,NA,NA,NA,2.016944884751769e-6,NA
